gpuName,G3Dmark
GeForce RTX 3080 Ti,26887
GeForce RTX 3090,26395
Radeon RX 6900 XT,25458
GeForce RTX 3080,24853
GeForce RTX 3070 Ti,23367
Radeon RX 6800 XT,23364
GeForce RTX 3070,22093
GeForce RTX 2080 Ti,21796
Radeon RX 6800,20667
GeForce RTX 3060 Ti,20206
GeForce RTX 2080 SUPER,19519
Radeon RX 6700 XT,18993
TITAN V,18816
GeForce RTX 2080,18732
TITAN Xp COLLECTORS EDITION,18721
GeForce GTX 1080 Ti,18284
NVIDIA TITAN Xp,18280
GeForce RTX 2070 SUPER,18168
TITAN V CEO Edition,16988
GeForce RTX 3060,16958
Radeon RX 5700 XT,16892
Radeon VII,16767
Radeon RX 5700 XT 50th Anniversary,16650
GeForce RTX 2060 SUPER,16514
GeForce RTX 2070,16079
Radeon RX 6600 XT,15853
GeForce GTX 1080,15265
Radeon Pro W5700,15085
Radeon RX 5700,14729
Radeon RX Vega 64,14636
GeForce GTX 1070 Ti,14500
Radeon Pro WX 8200,14110
GeForce RTX 2060,13953
GeForce GTX 980 Ti,13864
Radeon RX 5600 XT,13836
Radeon Vega Frontier Edition,13748
NVIDIA TITAN X,13660
Radeon RX Vega 56,13636
GeForce GTX 1070,13482
Radeon Pro WX 9100,13241
GeForce GTX TITAN X,13173
GeForce GTX 1660 SUPER,12732
Radeon Pro 5700 XT,12537
Radeon Pro 5700,11844
GeForce GTX 1660 Ti,11794
GeForce GTX 1660,11695
GeForce GTX 980,11237
Radeon RX 5600,11030
GeForce GTX 1060,10070
GeForce GTX 1650 SUPER,10032
Radeon R9 Fury + Fury X,9741
GeForce GTX 1060 3GB,9728
GeForce GTX 970,9688
Radeon RX 590,9665
Radeon R9 390X,9503
GeForce GTX 780 Ti,9312
Radeon Pro W5500,9269
GeForce GTX TITAN Z,9189
Radeon RX 5500 XT,9188
GeForce GTX TITAN Black,9140
Radeon R9 390,9008
Radeon RX 580,8907
Radeon RX 5500,8817
GeForce GTX 1060 5GB,8704
Radeon RX 480,8674
Radeon RX590 GME,8628
Radeon R9 295X2,8619
GeForce GTX Titan,8556
Radeon R9 290X / 390X,8389
Radeon Pro Duo,8324
Radeon R9 290 / 390,8150
Radeon RX 470/570,8070
GeForce GTX 780,8022
GeForce GTX 1650,7807
Radeon RX 580X,7798
Radeon RX 5300,7611
Radeon Pro 580X,7540
GeForce GTX 1050 Ti,6314
Radeon R9 280X,6284
Radeon R9 380,6275
Radeon R9 380X,6189
GeForce GTX 960,6042
GeForce GTX 770,5892
Radeon R9 280,5668
GeForce GTX 690,5654
Radeon HD 7990,5566
Radeon R9 285 / 380,5550
GeForce GTX 680,5535
GeForce GTX 950,5392
GeForce GTX 670,5304
Radeon HD 7970 / R9 280X,5248
Radeon HD 8990,5214
GeForce GTX 760 Ti,5206
GeForce GTX 1050,5090
Radeon R9 270X,4923
GeForce GTX 760,4775
Radeon HD 7950 / R9 280,4765
Radeon R9 370,4722
Radeon HD 7870,4661
GeForce GTX 580,4538
Radeon R7 370,4479
Radeon HD 7870 XT,4470
GeForce GTX 660 Ti,4367
Radeon R9 270 / R7 370,4260
Radeon RX 460,4114
GeForce GTX 480,4110
GeForce GTX 660,4004
GeForce GTX 750 Ti,3919
GeForce GTX 570,3902
Radeon HD 7850,3826
Radeon Pro WX 4100,3766
Radeon RX 560,3594
GeForce GTX 750,3399
GeForce GTX 650 Ti BOOST,3330
GeForce GTX 590,3307
Radeon RX 560X,3181
GeForce GTX 470,3147
Radeon R7 260X,3147
Radeon HD 7790,3090
GeForce GTX 560 Ti,3056
Radeon R7 360,3034
Radeon R9 360,3032
Radeon HD 6990,3013
Radeon R7 260,2892
Radeon HD 6970,2863
Radeon RX 550,2718
GeForce GTX 560,2711
GeForce GTX 465,2681
Radeon HD 6950,2650
GeForce GT 1030,2545
GeForce GTX 650 Ti,2527
Radeon RX 550X,2370
GeForce GTX 460,2289
Radeon R7 250X,2269
Radeon HD 8950,2267
Radeon HD 5870,2266
Radeon HD 5970,2249
Radeon HD 6870,2223
Radeon HD 7770,2204
GeForce GTX 745,2175
GeForce GTX 560 SE,2087
Radeon R9 350,2007
GeForce GTX 460 v2,2005
Radeon HD 6850,1979
GeForce GTX 460 SE,1974
Radeon HD 5850,1966
Radeon R7 450,1966
Radeon RX 570X,1923
GeForce GTX 645,1858
GeForce GTX 555,1807
GeForce GTX 650,1769
Radeon HD 5830,1735
Radeon HD 7750,1696
Radeon HD 6790,1613
GeForce GTX 550 Ti,1557
GeForce GTX 285,1550
Radeon HD 4890,1533
GeForce GT 740,1529
GeForce GTX 275,1401
Radeon HD 4870,1391
Radeon HD 5770,1351
GeForce GTS 450,1321
Radeon HD 4870 X2,1309
Radeon HD 6770,1231
GeForce GTX 260,1221
Radeon HD 7730,1217
GeForce GT 640,1182
GeForce GTX 280,1181
GeForce GTX 295,1171
Radeon HD 5750,1156
Radeon R7 250,1151
Radeon HD 4850 X2,1132
Radeon HD 6750,1005
Radeon HD 8570,991
Radeon R7 A10-7850K,982
Radeon HD 4850,953
Radeon HD 4770,906
Radeon R7 240,863
Radeon HD 4830,860
Radeon HD 3850 X2,822
Radeon HD 7670,813
GeForce GT 730,812
GeForce 9800 GX2,798
Radeon HD 5670,784
GeForce GT 340,774
GeForce 9800 GTX,769
Radeon HD 4810,769
GeForce GT 440,766
Radeon HD 6670,745
Radeon HD 3870 X2,709
GeForce GT 630,683
GeForce GT 530,676
Radeon HD 2900 XT,660
GeForce GT 140,658
GeForce 8800 Ultra,639
GeForce GT 710,637
Radeon HD 2900 PRO,628
Intel HD 4600,627
GeForce GTS 240,622
GeForce GTS 250,618
Radeon HD 7570,613
GeForce GT 720,606
GeForce GT 430,603
GeForce 8800 GTX,597
GeForce 8800 GTS 512,591
Radeon HD 3870,576
GeForce GT 240,543
GeForce 9800 GTX+,538
Radeon R5 240,520
GeForce 8800 GT,519
Radeon R5 330,513
GeForce 9600 GT,505
Radeon HD 7660D,504
Radeon HD 6570,496
GeForce 9800 GT,481
Radeon HD 5570,473
Radeon HD 7560D,472
GeForce 710A,451
GeForce GT 320,444
GeForce 8800 GTS,440
Radeon HD 3850 AGP,432
Radeon HD 6550D,417
GeForce GT 420,411
Radeon HD 3850,410
Radeon HD 4670,384
Radeon HD 5550,383
GeForce GT 620,365
GeForce GT 705,355
GeForce 9600 GSO,350
GeForce GT 130,347
GeForce 9600 GSO 512,345
Radeon HD 7540D,336
GeForce 8800 GS,332
GeForce GT 625,329
Radeon R5 235,329
Radeon HD 6530D,325
Radeon HD 7470,316
GeForce GT 610,303
GeForce GT 520,297
Radeon HD 2900 GT,292
GeForce 7800 GTX,291
Radeon HD 7480D,285
Radeon HD 2600 XT,283
Radeon R5 235X,280
Radeon HD 8490,265
GeForce 510,257
Radeon HD 8470,257
Radeon HD 6370D,254
Radeon HD 6410D,243
Radeon HD 4550,236
Radeon HD 7450,221
Radeon HD 4650,219
GeForce GT 220,211
Radeon HD 2600 PRO,211
Radeon HD 6450,200
Radeon HD 7350,193
GeForce GT 120,175
Radeon HD 8350,165
GeForce 8600 GTS,161
GeForce 315,159
Radeon X1900 GT,146
RADEON HD 6350,141
Radeon X1800 GTO,141
Radeon HD 5450,138
Radeon X1900 CrossFire Edition,137
GeForce 9500 GT,135
Radeon R5 220,135
GeForce 8400 GS,128
GeForce 205,126
GeForce 310,122
Radeon HD 2400 XT,119
Radeon HD 3450,118
GeForce 8600 GT,117
Radeon X1600 XT,116
GeForce 8500 GT,115
Radeon HD 2400 Pro,114
Radeon X1950 Pro,113
Radeon X1950 GT,106
GeForce 9400 GT,105
Radeon HD 4350,103
Radeon X1600 Pro,99
GeForce 210,97
GeForce 8600 GS,92
Radeon HD 3470,90
Radeon X1650 Pro,85
Radeon HD 2350,77
Intel G45/G43 Express Chipset,75
GeForce 8300 GS,67
Radeon X1550,67
